"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2018,13,105169529,0.25,3,9368393
2018,1,105169529,0.01,1,9368392
2018,1,105165958,0.65,1,9368408
2018,13,105166016,4,1,9368419
2018,12,105166364,1,9,9376055
2018,12,105166635,0.01,1,9376087
2018,5,105170326,0.5,3,9368535
2018,16,105170410,1,11,9368547
2018,12,105170487,0.7,1,9368566
2018,5,105170546,1,11,9368589
2018,5,105166946,1,11,9376155
2018,12,105131215,1,11,9362465
2018,5,105131039,1,3,9364383
2018,5,105131104,1,3,9362457
2018,12,106349527,0,1,9650842
2018,5,106339611,5,1,9645842
2018,12,106349601,1,11,9645851
2018,16,106349601,64,9,9645852
2018,5,106344703,1,11,9645859
2018,5,106345001,0.004,9,9645896
2018,8,106349943,0.75,9,9650902
2018,15,106345118,2,9,9645917
2018,8,106345118,1,9,9655902
2018,15,106349991,1,9,9655907
2018,12,106345182,0.6,1,9655912
2018,5,106345182,6.9,1,9655911
2018,5,106350142,26,4,9650927
2018,12,106345386,3,1,9650939
2018,5,106340515,0.2,3,9651010
2018,16,106345781,8,9,9646077
2018,12,106345809,0.5,1,9646084
2018,5,106345823,12,1,9646090
2018,2,106350538,1,11,9656028
2018,5,106350669,1,1,9656053
2018,16,106350704,1,9,9646114
2018,5,106340758,1,3,9651069
2018,5,106350785,1,3,9646121
2018,5,106350795,1,3,9656066
2018,12,106340775,1,1,9656067
2018,5,106346067,1,3,9656072
2018,12,106350828,7.4,1,9651097
2018,16,106350839,1,9,9646134
2018,5,106350860,13,1,9651113
2018,12,106346114,2,1,9646154
2018,14,106346124,4,9,9646159
2018,5,106340978,1.6,1,9651150
2018,5,106346290,2.9,1,9656130
2018,5,106345882,1,9,9646095
2018,5,106345906,1,9,9646100
2018,15,106350678,1,11,9646111
2018,4,106340704,1,1,9656059
2018,5,106350776,1,3,9651071
2018,12,106350797,1,1,9651084
2018,5,106350803,1,3,9656070
2018,12,106350829,6.9,1,9656073
2018,12,106340800,1,1,9656079
2018,12,106340808,1,1,9646138
2018,5,106350851,10.1,1,9651107
2018,12,106340842,1.6,1,9656098
2018,5,106340193,7,1,9655938
2018,5,106345434,1,3,9645997
2018,12,106350278,0.5,3,9655975
2018,12,106350290,1,11,9646019
2018,16,106350290,1,11,9655982
2018,5,106345576,1,3,9655986
2018,16,106350347,1,11,9650981
2018,5,106345608,1,1,9646040
2018,16,106340462,170,9,9655996
2018,8,106350447,1,9,9651007
2018,5,106350482,31.9,1,9646073
2018,16,106350482,250,1,9651018
2018,3,106350482,1,1,9646072
2018,12,106350553,2,9,9651038
2018,5,106345949,1.2,1,9646104
2018,5,106340703,1,1,9656057
2018,5,106346048,1,3,9646122
2018,12,106340769,1,1,9656064
2018,5,105130725,0.2,1,9362411
2018,5,105130829,1.6,1,9364342
2018,3,105127531,0.007,1,9364374
2018,5,105127531,0.101,1,9364373
2018,18,105127531,,,9364375
2018,5,105131000,1,3,9362441
2018,5,122500750,0.1,1,13270829
2018,5,122500762,0.1,1,13286239
2018,5,122500828,0.1,1,13280494
2018,12,122500995,0.07,1,13286331
2018,5,122496320,0.1,1,13286375
2018,16,122500795,4,1,13280480
2018,12,122500975,0.1,1,13286324
2018,5,122496233,0.1,1,13270899
2018,5,122496396,0.1,1,13270953
2018,5,122489573,0.1,1,13286426
2018,12,122504598,0.06,1,13270967
2018,12,122495827,0.1,1,13270800
2018,5,122495958,0.1,1,13280475
2018,5,122500866,0.1,1,13286276
2018,12,122500993,0.1,1,13286329
2018,5,122500735,0.1,1,13286228
2018,12,122500742,0.1,1,13286231
2018,12,122500824,1.4,1,13270851
2018,5,122496194,0.1,1,13270885
2018,5,122501101,0.1,1,13286368
2018,12,122496366,0.3,1,13286401
2018,13,122500973,1,9,13286323
2018,12,122496203,1,1,13270891
2018,2,122501021,0.21,1,13270895
2018,5,122496356,0.1,1,13270937
2018,5,122504592,0.1,1,13280566
2018,5,122501330,0.1,1,13286452
2018,5,122501369,0.1,1,13286469
2018,2,122501062,0.1,1,13286351
2018,12,122501198,0.1,1,13286408
2018,2,122489561,0.1,1,13286418
2018,16,122501248,10,9,13286429
2018,5,122489385,0.1,1,13280509
2018,12,122500887,0.1,1,13286285
2018,5,122501078,0.1,1,13286357
2018,16,122496277,3,9,13286361
2018,2,122501200,0.05,1,13286409
2018,12,122496402,0.1,1,13270955
2018,12,122489389,0.52,1,13280511
2018,12,122500895,1.41,1,13286289
2018,5,122500926,0.1,1,13286300
2018,5,122500932,0.1,1,13280518
2018,5,122501031,0.1,1,13286341
2018,16,122496264,1,9,13270908
2018,5,122496283,0.1,1,13286362
2018,12,122489492,0.1,1,13286374
2018,2,122496321,0.1,1,13280543
2018,12,122496360,0.1,1,13270940
2018,5,122489560,0.1,1,13280556
2018,5,122501257,0.1,1,13286431
2018,5,122501357,0.1,1,13286459
2018,5,122495873,0.1,1,13270813
2018,2,122500788,0.1,1,13286246
2018,5,122500937,0.1,1,13270876
2018,5,122500884,0.1,1,13280510
2018,5,122501182,0.1,1,13286405
2018,12,122489152,0.1,1,13286206
2018,12,122500718,0.1,1,13270817
2018,12,122495914,1.27,1,13270826
2018,5,122500804,0.1,1,13280484
2018,5,122500969,0.1,1,13286321
2018,12,122501063,0.1,1,13286352
2018,5,122489505,0.1,1,13286385
2018,5,122501289,0.1,1,13286439
2018,12,122489351,0.1,1,13286261
2018,12,122500933,0.1,1,13286307
2018,5,122500944,0.1,1,13270877
2018,12,122500994,0.1,1,13286330
2018,5,122489447,0.1,1,13286337
2018,12,122496221,0.1,1,13280531
2018,12,122501064,0.1,1,13286353
2018,5,122501092,0.1,1,13286363
2018,5,122496323,0.1,1,13270927
2018,12,122495843,0.1,1,13270803
2018,5,123390605,8,1,13583426
2018,3,123408756,4,4,13583465
2018,5,123408756,52,4,13587677
2018,5,123390607,5,1,13587651
2018,5,123408711,48,1,13583429
2018,3,123408711,32.8,1,13578965
2018,3,123408729,8,9,13583436
2018,5,123408729,3.2,4,13583437
2018,12,123408754,1,9,13587676
2018,5,123390150,24.9,1,13587555
2018,5,123408680,0.49,3,13583407
2018,5,123410916,1,1,13578963
2018,5,123408739,2.1,4,13578972
2018,5,123408730,13,1,13583438
2018,12,106758568,1,9,9725031
2018,5,106753756,1,1,9715535
2018,5,106764331,1,1,9727202
2018,12,106764459,1,11,9727238
2018,5,106762460,1,1,9727277
2018,5,106769305,1,1,9715681
2018,5,106764732,1,1,9727295
2018,12,106769489,1,1,9725255
2018,5,106762657,2,1,9715718
2018,12,115417450,1,11,11202101
2018,8,111179897,15,9,10481347
2018,12,107608942,0.53,3,9863286
2018,12,107611230,0.5,1,9860481
2018,3,107611260,,,9863299
2018,13,107609111,,,9863313
2018,13,107609166,1.5,1,9863319
2018,13,107609193,0.025,3,9854941
2018,12,107619629,2.8,1,9860580
2018,5,107619756,1,11,9863410
2018,12,107612344,1,1,9860719
2018,5,107612398,,,9860726
2018,5,107617376,0.5,1,9855157
2018,12,107617382,1.4,1,9860730
2018,5,107612517,5,1,9855191
2018,11,107620450,1,11,9855193
2018,12,107617599,1,3,9863646
2018,12,107617628,1,1,9860801
2018,5,107617628,1,1,9855222
2018,12,107620806,0.5,1,9863729
2018,14,107620824,2,9,9863742
2018,12,107620824,1,11,9863741
2018,5,107620878,1,1,9863760
2018,15,107620995,1,1,9863782
2018,5,107620995,0.345,3,9863781
2018,5,107613002,3.9,1,9855317
2018,12,107618228,1,1,9860916
2018,5,107621321,1,3,9863822
2018,5,111173128,1,1,10470524
2018,5,111180087,3,3,10477107
2018,13,107608866,2.8,1,9860465
2018,12,107608895,3.5,1,9854897
2018,1,107616362,3.4,3,9860508
2018,5,107616670,1,9,9860555
2018,12,107620259,1,1,9855146
2018,5,107617385,1,1,9863577
2018,5,107620339,5,1,9855168
2018,5,107620339,1,11,9855169
2018,18,107620339,,,9863586
2018,5,107617488,2,1,9860765
2018,5,107620529,0.5,3,9863642
2018,17,107612605,4,9,9860797
2018,5,107612605,0.5,3,9860796
2018,12,107612605,1,9,9863648
2018,5,107612739,1,1,9855255
2018,12,107612739,1,1,9855256
2018,12,107620692,1,1,9863694
2018,5,107617779,1,11,9855264
2018,5,107612818,3,1,9860836
