"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2018,105165077,38,100,,112540396
2018,105168783,3,1843,,112544443
2018,105168785,3,1843,20-JUL-18,112544444
2018,105165191,20,900,,112540519
2018,105165211,19,15,,112544488
2018,105168820,19,10,12-MAY-18,112540544
2018,105168836,20,2,,112544508
2018,105168847,54,300,,112540571
2018,105168848,10,,,112540578
2018,105165387,3,4000,,112540776
2018,105165340,11,5,,112540718
2018,105165340,10,,,112544653
2018,105169050,20,100,,112540823
2018,105165376,52,0,,112544695
2018,105165465,63,330,,112540867
2018,105169093,63,330,27-JUN-18,112544812
2018,105165498,29,500,,112540904
2018,105169116,7,500,17-JUN-18,112540905
2018,105169118,7,500,,112544850
2018,105169294,31,100,,112545062
2018,105169225,38,50,,112546043
2018,105169225,3,12000,,112546040
2018,105169225,6,1000,,112544969
2018,105165599,3,12000,04-JUL-18,112544966
2018,105165599,38,50,04-JUL-18,112546038
2018,105169225,36,200,,112546042
2018,105165623,63,1113,,112546070
2018,105165631,63,0,,112545011
2018,105169256,4,1500,,112546080
2018,105165644,10,,,112545029
2018,105165644,27,1,,112546100
2018,105165644,11,1,,112545030
2018,105165697,36,400,,112545119
2018,105165709,3,500,,112546180
2018,105169385,8,16,,112546214
2018,105169407,20,40,,112545186
2018,105165753,33,200,,112546238
2018,105165764,20,76,,112545214
2018,105165774,49,300,,112545234
2018,105165774,36,850,,112545230
2018,105165774,23,75,,112545227
2018,105165774,13,3100,,112546257
2018,105165774,65,2000,,112546263
2018,105165774,43,5800,,112545232
2018,105165774,62,2400,,112545236
2018,105165774,66,100,,112545240
2018,105165774,15,50,,112545226
2018,105169449,3,500,,112545251
2018,105165798,11,10,,112545258
2018,105169519,20,10,,112545360
2018,105169519,9,0,,112546380
2018,105169519,25,20,,112546382
2018,105169519,51,0,,112546384
2018,105165877,63,25,,112546398
2018,105165881,3,350,,112545383
2018,105169635,2,1,,112545514
